# This file contains the list of genes (nodes) in the gene regulatory network
# of Saccharomyces cerevisiae.
# 
# The original network was built using the information available from
# 
# Teixeira MC, Monteiro PT, Guerreiro JF, Gonçalves JP, Mira NP, Dos Santos
# SC, et al. The YEASTRACT database: an upgraded information system for the
# analysis of gene and genomic transcription regulation in Saccharomyces
# cerevisiae.      Nucleic acids research. 2014;42(1):D161–6.
# doi:10.1093/nar/gkt1015.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
rps30b	64	0	Readout_terminal
rps13	64	0	Readout_terminal
rpl35b	64	0	Readout_terminal
rpl27b	64	0	Readout_terminal
rpl26a	64	0	Readout_terminal
rpl13b	64	0	Readout_terminal
pil1	64	0	Readout_terminal
pcl5	64	0	Readout_terminal
nop8	64	0	Readout_terminal
nop10	64	0	Readout_terminal
mrt4	64	0	Readout_terminal
matalpha1	64	0	Readout_terminal
lsm2	64	0	Readout_terminal
leu2	64	0	Readout_terminal
fre1	64	0	Readout_terminal
faa4	64	0	Readout_terminal
erg26	64	0	Readout_terminal
eno2	64	0	Readout_terminal
dip5	64	0	Readout_terminal
cpa1	64	0	Readout_terminal
cks1	64	0	Readout_terminal
atp15	64	0	Readout_terminal
yor390w	63	0	Readout_terminal
ylr035c-a	63	0	Readout_terminal
uga1	63	0	Readout_terminal
tps1	63	0	Readout_terminal
tna1	63	0	Readout_terminal
scs7	63	0	Readout_terminal
rps31	63	0	Readout_terminal
rps1b	63	0	Readout_terminal
rpl43a	63	0	Readout_terminal
rpl38	63	0	Readout_terminal
rpl25	63	0	Readout_terminal
rpl22a	63	0	Readout_terminal
pyc1	63	0	Readout_terminal
prm7	63	0	Readout_terminal
pgi1	63	0	Readout_terminal
pdh1	63	0	Readout_terminal
pau6	63	0	Readout_terminal
pau12	63	0	Readout_terminal
mdj1	63	0	Readout_terminal
lys9	63	0	Readout_terminal
kin1	63	0	Readout_terminal
ics2	63	0	Readout_terminal
hxt16	63	0	Readout_terminal
hsp104	63	0	Readout_terminal
hmlalpha1	63	0	Readout_terminal
gdh3	63	0	Readout_terminal
fre7	63	0	Readout_terminal
dps1	63	0	Readout_terminal
crh1	63	0	Readout_terminal
clb1	63	0	Readout_terminal
add66	63	0	Readout_terminal
aco2	63	0	Readout_terminal
yhr145c	62	0	Readout_terminal
uga2	62	0	Readout_terminal
tps2	62	0	Readout_terminal
tim21	62	0	Readout_terminal
ssb1	62	0	Readout_terminal
rpl4a	62	0	Readout_terminal
qdr2	62	0	Readout_terminal
qcr10	62	0	Readout_terminal
pma2	62	0	Readout_terminal
msa1	62	0	Readout_terminal
met2	62	0	Readout_terminal
mae1	62	0	Readout_terminal
lys20	62	0	Readout_terminal
htb2	62	0	Readout_terminal
htb1	62	0	Readout_terminal
gdt1	62	0	Readout_terminal
fmp48	62	0	Readout_terminal
erg20	62	0	Readout_terminal
cys3	62	0	Readout_terminal
ato3	62	0	Readout_terminal
arp2	62	0	Readout_terminal
akr2	62	0	Readout_terminal
ade13	62	0	Readout_terminal
abf2	62	0	Readout_terminal
yps1	61	0	Readout_terminal
ypc1	61	0	Readout_terminal
ymr321c	61	0	Readout_terminal
ydr042c	61	0	Readout_terminal
ycr050c	61	0	Readout_terminal
ycl065w	61	0	Readout_terminal
ycl042w	61	0	Readout_terminal
tir4	61	0	Readout_terminal
