# This file contains the list of genes (nodes) in the gene regulatory network
# of Escherichia coli.
# 
# The original network was built using the information available from
# 
# Keseler IM, Collado-Vides J, Santos-Zavaleta A, Peralta-Gil M, Gama-Castro S,
# Muñiz-Rascado L, et al. EcoCyc: a comprehensive database of Escherichia coli
# biology. Nucleic acids research. 2011;39(Database issue):D583–90.
# doi:10.1093/nar/gkq1143.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
ynfF	4	0	Readout_terminal
ynfE	4	0	Readout_terminal
yjiY	4	0	Readout_terminal
yhhL	4	0	Readout_terminal
ygjQ	4	0	Readout_terminal
yffP	4	0	Readout_terminal
yffO	4	0	Readout_terminal
ydhY	4	0	Readout_terminal
ydhX	4	0	Readout_terminal
ydhW	4	0	Readout_terminal
ydhV	4	0	Readout_terminal
ydhU	4	0	Readout_terminal
yccB	4	0	Readout_terminal
ybdZ	4	0	Readout_terminal
yadV	4	0	Readout_terminal
wzzB	4	0	Readout_terminal
wzc	4	0	Readout_terminal
wzb	4	0	Readout_terminal
wza	4	0	Readout_terminal
uxaC	4	0	Readout_terminal
uxaA	4	0	Readout_terminal
uspA	4	0	Readout_terminal
uidC	4	0	Readout_terminal
ugpQ	4	0	Readout_terminal
tsx	4	0	Readout_terminal
truB	4	0	Readout_terminal
trpA	4	0	Readout_terminal
treC	4	0	Readout_terminal
treB	4	0	Readout_terminal
topA	4	0	Readout_terminal
tomB	4	0	Readout_terminal
sroD	4	0	Readout_terminal
sroC	4	0	Readout_terminal
sgrT	4	0	Readout_terminal
sgrS	4	0	Readout_terminal
setA	4	0	Readout_terminal
serA	4	0	Readout_terminal
rtcB	4	0	Readout_terminal
rsmD	4	0	Readout_terminal
rpsS	4	0	Readout_terminal
rpsQ	4	0	Readout_terminal
rpsO	4	0	Readout_terminal
rpsJ	4	0	Readout_terminal
rpsC	4	0	Readout_terminal
rpmC	4	0	Readout_terminal
rplW	4	0	Readout_terminal
rplV	4	0	Readout_terminal
rplT	4	0	Readout_terminal
rplS	4	0	Readout_terminal
rplP	4	0	Readout_terminal
rplD	4	0	Readout_terminal
rplC	4	0	Readout_terminal
rplB	4	0	Readout_terminal
rimP	4	0	Readout_terminal
rhaT	4	0	Readout_terminal
rhaD	4	0	Readout_terminal
recF	4	0	Readout_terminal
recC	4	0	Readout_terminal
rcnB	4	0	Readout_terminal
rbfA	4	0	Readout_terminal
purD	4	0	Readout_terminal
purA	4	0	Readout_terminal
pspG	4	0	Readout_terminal
pspE	4	0	Readout_terminal
pspD	4	0	Readout_terminal
pspC	4	0	Readout_terminal
pspB	4	0	Readout_terminal
pspA	4	0	Readout_terminal
prpE	4	0	Readout_terminal
prpD	4	0	Readout_terminal
prpC	4	0	Readout_terminal
prpB	4	0	Readout_terminal
proP	4	0	Readout_terminal
pqiB	4	0	Readout_terminal
pqiA	4	0	Readout_terminal
ppiA	4	0	Readout_terminal
pnp	4	0	Readout_terminal
pgpB	4	0	Readout_terminal
pgk	4	0	Readout_terminal
paaZ	4	0	Readout_terminal
nusA	4	0	Readout_terminal
nupG	4	0	Readout_terminal
nupC	4	0	Readout_terminal
nrdI	4	0	Readout_terminal
nrdH	4	0	Readout_terminal
nrdF	4	0	Readout_terminal
nrdE	4	0	Readout_terminal
nikE	4	0	Readout_terminal
nikD	4	0	Readout_terminal
nikC	4	0	Readout_terminal
nikB	4	0	Readout_terminal
nikA	4	0	Readout_terminal
nhaA	4	0	Readout_terminal
nfsB	4	0	Readout_terminal
nfo	4	0	Readout_terminal
nanT	4	0	Readout_terminal
nanK	4	0	Readout_terminal
nanE	4	0	Readout_terminal
nanA	4	0	Readout_terminal
nagA	4	0	Readout_terminal
murQ	4	0	Readout_terminal
murP	4	0	Readout_terminal
mpl	4	0	Readout_terminal
moeB	4	0	Readout_terminal
moeA	4	0	Readout_terminal
modC	4	0	Readout_terminal
modB	4	0	Readout_terminal
modA	4	0	Readout_terminal
mntH	4	0	Readout_terminal
metY	4	0	Readout_terminal
metL	4	0	Readout_terminal
metB	4	0	Readout_terminal
mazG	4	0	Readout_terminal
malS	4	0	Readout_terminal
malQ	4	0	Readout_terminal
lon	4	0	Readout_terminal
lacZ	4	0	Readout_terminal
lacY	4	0	Readout_terminal
lacA	4	0	Readout_terminal
katG	4	0	Readout_terminal
iraM	4	0	Readout_terminal
iraD	4	0	Readout_terminal
infB	4	0	Readout_terminal
